time,segment1_continuous_200Hz,segment2_counts_1Hz,segment3_quantized_irregular
1761200453.6179538,0.0993428306022465,1,
1761200453.622954,0.0476957632009391,1,
1761200453.6279538,0.2799375878973036,1,
1761200453.632954,0.5294635487844747,1,
1761200453.6379538,0.2515971896531585,1,
1761200453.642954,0.3239930018601007,1,
1761200453.6479535,0.7575920263230917,1,
1761200453.652954,0.664422095708669,1,
1761200453.6579535,0.484209531735068,1,
1761200453.662954,0.7515041626919888,1,
1761200453.6679535,0.6126587641884753,1,
1761200453.6729538,0.6717628369843761,1,
1761200453.6779535,0.8698489814276331,1,
1761200453.6829538,0.4921063039741342,1,
1761200453.6879537,0.5796323248283404,1,
1761200453.6929538,0.8583628874017423,1,
1761200453.6979537,0.8106272865355334,1,
1761200453.7029538,1.1144174825716913,1,
1761200453.7079537,0.9041876478549812,1,
1761200453.7129538,0.8332710427988432,1,
1761200453.7179537,1.434397573338495,1,
1761200453.7229538,1.1171445332570502,1,
1761200453.7279537,1.192250341812011,1,
1761200453.7329538,0.905588004334682,1,
1761200453.7379537,1.0887555292088893,1,
1761200453.7429538,1.2221845179419732,1,
1761200453.747954,0.9674333586294652,1,
1761200453.7529538,1.2656772452465077,1,
1761200453.757954,1.0586169628906652,1,
1761200453.7629538,1.103961043395702,1,
1761200453.767954,1.020926497108305,1,
1761200453.7729535,1.4861874199676892,1,
1761200453.777954,1.0830930180116365,1,
1761200453.7829535,0.840025830261456,1,
1761200453.787954,1.1777024930230555,1,
1761200453.7929535,0.7266516632557324,1,
1761200453.7979538,0.9663886103318982,1,
1761200453.8029535,0.4828283281297386,1,
1761200453.8079538,0.5558193173347405,1,
1761200453.8129537,0.8042810348722526,1,
1761200453.8179538,0.85303561875005,1,
1761200453.8229537,0.67726581021279,1,
1761200453.8279538,0.5549747524444106,1,
1761200453.8329537,0.4507144107602296,1,
1761200453.8379538,0.1460450651481282,1,
1761200453.8429537,0.2268515515709952,1,
1761200453.8479538,0.2063001104058682,1,
1761200453.8529537,0.4362820227466526,1,
1761200453.8579538,0.2191235381908577,1,
1761200453.8629537,-0.2772594076373705,1,
1761200453.8679538,0.0648167938789591,1,
1761200453.872954,-0.1523650795184393,1,
1761200453.8779538,-0.2857842803383569,1,
1761200453.882954,-0.1025223197346961,1,
1761200453.8879538,-0.0922279600986357,1,
1761200453.892954,-0.1845643694266975,1,
1761200453.8979535,-0.6095929678661417,1,
1761200453.902954,-0.5727776250483301,1,
1761200453.9079535,-0.5118517226413452,1,
1761200453.912954,-0.4478831285503238,1,
1761200453.9179535,-0.8011771503200257,1,
1761200453.9229538,-0.802040583031191,1,
1761200453.9279535,-1.042723521915632,1,
1761200453.9329538,-1.1140036777218278,1,
1761200453.9379537,-0.7621107268521077,1,
1761200453.9429538,-0.6995723875357722,1,
1761200453.9479537,-1.027595534918485,1,
1761200453.9529538,-0.8508614364742313,1,
1761200453.9579537,-1.0134652579496968,1,
1761200453.9629538,-1.2447557339869266,1,
1761200453.9679537,-1.0689886984525012,1,
1761200453.9729538,-0.8546924800611633,1,
1761200453.9779537,-1.1859099086964169,1,
1761200453.9829538,-0.8776089104145719,1,
1761200453.9879537,-1.7215810949318748,1,
1761200453.9929538,-1.0356194991249552,1,
1761200453.997954,-1.1802226604662918,1,
1761200454.0029538,-1.250339111670547,1,
1761200454.007954,-1.160392545567326,1,
1761200454.0129538,-1.5598135762745358,1,
1761200454.017954,-1.1852021971216866,1,
1761200454.0229535,-1.0443092687635522,1,
1761200454.027954,-0.7902136540109203,1,
1761200454.0329535,-1.1552220597073657,1,
1761200454.037954,-1.174892231181056,1,
1761200454.0429535,-1.0711718019668444,1,
1761200454.0479538,-0.7415354677905326,1,
1761200454.0529535,-0.8090121309737569,1,
1761200454.0579538,-0.9274085678678344,1,
1761200454.0629537,-0.6622553010757563,1,
1761200454.0679538,-0.6859267928813599,1,
1761200454.0729537,-0.4492631558682177,1,
1761200454.0779538,-0.7185150276975288,1,
1761200454.0829537,-0.5764675791976402,1,
1761200454.0879538,-0.5201710938480449,1,
1761200454.0929537,-0.6635233828763609,1,
1761200454.0979538,-0.2392038091849112,1,
1761200454.1029537,-0.1726465230668917,1,
1761200454.1079538,-0.1493771889486734,1,
1761200454.1129537,-0.1222660501102053,1,
1761200454.1179538,-0.2830741484100831,1,
1761200454.122954,-0.0087804411178964,1,
1761200454.1279538,0.0818569769718111,1,
1761200454.132954,0.0644021236585452,1,
1761200454.1379538,0.266170722264624,1,
1761200454.142954,0.4516305646128443,1,
1761200454.1479535,0.8189866434637199,1,
1761200454.152954,0.5458507124444548,1,
1761200454.1579535,0.6296144870666116,1,
1761200454.162954,0.6281029708215625,1,
1761200454.1679535,0.32158805969116,1,
1761200454.1729538,0.7596060126085846,1,
1761200454.1779535,0.8335025691026323,1,
1761200454.1829538,1.3674107754027516,1,
1761200454.1879537,0.8861436983747225,1,
1761200454.1929538,1.0311298617166598,1,
1761200454.1979537,1.006251156661369,1,
1761200454.2029538,0.8178324085287293,1,
1761200454.2079537,1.3143570258622277,1,
1761200454.2129538,1.2661183896032562,1,
1761200454.2179537,1.2994742089627935,1,
1761200454.2229538,0.9804223023954092,1,
1761200454.2279537,1.4593035630616462,1,
1761200454.2329538,0.910167429018917,1,
1761200454.2379537,1.31500349287398,1,
1761200454.2429538,1.6380911251619956,1,
1761200454.247954,0.9995248090877882,1,
1761200454.2529538,1.077278095656819,1,
1761200454.257954,1.1986749738919544,1,
1761200454.2629538,1.0616046625311175,1,
1761200454.267954,0.8311351333409578,1,
1761200454.2729535,1.1294443780271073,1,
1761200454.277954,0.8733317202140021,1,
1761200454.2829535,1.1462865021796722,1,
1761200454.287954,0.8293086637556575,1,
1761200454.2929535,1.280807274253445,1,
1761200454.2979538,0.7679652328636988,1,
1761200454.3029535,0.810350049664558,1,
1761200454.3079538,0.98415997058836,1,
1761200454.3129537,0.5187359244116365,1,
